Rank,NOC,Gold,Silver,Bronze,Total,Year
33,IRI,0,1,1,2,1976
34,MGL,0,1,0,1,1976
34,VEN,0,1,0,1,1976
36,BRA,0,0,2,2,1976
37,AUT,0,0,1,1,1976
37,BER,0,0,1,1,1976
37,PAK,0,0,1,1,1976
37,PPO,0,0,1,1,1976
37,THA,0,0,1,1,1976
3,ITA,13,10,13,36,1960
2,USA,33,31,30,94,1972
8,JPN,4,7,7,18,1960
4,RUS,19,17,20,56,2016
5,JPN,13,8,8,29,1972
6,AUS,8,7,2,17,1972
7,POL,7,5,9,21,1972
8,HUN,6,13,16,35,1972
9,BUL,6,10,5,21,1972
10,ITA,5,3,10,18,1972
11,SWE,4,6,6,16,1972
12,GBR,4,5,9,18,1972
13,ROU,3,6,7,16,1972
14,CUB,3,1,4,8,1972
14,FIN,3,1,4,8,1972
16,NED,3,1,1,5,1972
17,FRA,2,4,7,13,1972
41,MEX,0,0,1,1,1960
19,KEN,2,3,4,9,1972
32,MAR,0,1,0,1,1960
21,NOR,2,1,1,4,1972
22,NKA,1,1,3,5,1972
23,NZL,1,1,1,3,1972
24,UGA,1,1,0,2,1972
25,DEN,1,0,0,1,1972
26,CHE,0,3,0,3,1972
27,CAN,0,2,3,5,1972
28,IRI,0,2,1,3,1972
29,BEL,0,2,0,2,1972
29,GRE,0,2,0,2,1972
31,AUT,0,1,2,3,1972
31,COL,0,1,2,3,1972
33,ARG,0,1,0,1,1972
33,LBN,0,1,0,1,1972
33,MEX,0,1,0,1,1972
33,MGL,0,1,0,1,1972
33,PAK,0,1,0,1,1972
33,KOR,0,1,0,1,1972
33,TUN,0,1,0,1,1972
33,TUR,0,1,0,1,1972
41,BRA,0,0,2,2,1972
41,ETH,0,0,2,2,1972
43,GHA,0,0,1,1,1972
43,IND,0,0,1,1,1972
43,JAM,0,0,1,1,1972
43,NER,0,0,1,1,1972
43,NGA,0,0,1,1,1972
43,ESP,0,0,1,1,1972
1,USA,45,28,34,107,1968
28,NED,0,1,2,3,1960
3,JPN,11,7,7,25,1968
4,HUN,10,10,12,32,1968
4,RUS,18,21,26,65,2012
6,FRA,7,3,5,15,1968
21,NOR,1,0,0,1,1960
20,PAK,1,0,1,2,1960
9,AUS,5,7,5,17,1968
10,GBR,5,5,3,13,1968
11,POL,5,2,11,18,1968
12,ROU,4,6,5,15,1968
13,ITA,3,4,9,16,1968
14,KEN,3,4,2,9,1968
15,MEX,3,3,3,9,1968
9,POL,4,6,11,21,1960
17,NED,3,3,1,7,1968
18,BUL,2,4,3,9,1968
19,IRI,2,1,2,5,1968
20,SWE,2,1,1,4,1968
21,TUR,2,0,0,2,1968
22,DEN,1,4,3,8,1968
23,CAN,1,3,1,5,1968
24,FIN,1,2,1,4,1968
25,ETH,1,1,0,2,1968
25,NOR,1,1,0,2,1968
27,NZL,1,0,2,3,1968
28,TUN,1,0,1,2,1968
29,PAK,1,0,0,1,1968
29,VEN,1,0,0,1,1968
31,CUB,0,4,0,4,1968
32,AUT,0,2,2,4,1968
33,CHE,0,1,4,5,1968
34,MGL,0,1,3,4,1968
35,BRA,0,1,2,3,1968
36,BEL,0,1,1,2,1968
36,KOR,0,1,1,2,1968
36,UGA,0,1,1,2,1968
39,CMR,0,1,0,1,1968
39,JAM,0,1,0,1,1968
41,ARG,0,0,2,2,1968
42,GRE,0,0,1,1,1968
42,IND,0,0,1,1,1968
32,PRT,0,1,0,1,1960
1,USA,36,26,28,90,1964
11,ROU,3,1,6,10,1960
3,JPN,16,5,8,29,1964
3,RUS,24,13,23,60,2008
5,ITA,10,10,7,27,1964
6,HUN,10,7,5,22,1964
7,POL,7,6,10,23,1964
8,AUS,6,2,10,18,1964
3,RUS,28,26,36,90,2004
10,GBR,4,12,2,18,1964
11,BUL,3,5,2,10,1964
12,FIN,3,0,2,5,1964
12,NZL,3,0,2,5,1964
14,ROU,2,4,6,12,1964
15,NED,2,4,4,10,1964
16,TUR,2,3,1,6,1964
17,SWE,2,2,4,8,1964
18,DEN,2,1,3,6,1964
2,RUS,32,28,29,89,2000
20,BEL,2,0,1,3,1964
21,FRA,1,8,6,15,1964
22,CAN,1,2,1,4,1964
22,CHE,1,2,1,4,1964
24,BAH,1,0,0,1,1964
24,ETH,1,0,0,1,1964
24,IND,1,0,0,1,1964
27,KOR,0,2,1,3,1964
28,TTO,0,1,2,3,1964
29,TUN,0,1,1,2,1964
30,ARG,0,1,0,1,1964
30,CUB,0,1,0,1,1964
30,PAK,0,1,0,1,1964
30,PHI,0,1,0,1,1964
34,IRI,0,0,2,2,1964
35,BRA,0,0,1,1,1964
35,GHA,0,0,1,1,1964
35,IRL,0,0,1,1,1964
35,KEN,0,0,1,1,1964
35,MEX,0,0,1,1,1964
35,NGA,0,0,1,1,1964
35,URY,0,0,1,1,1964
2,RUS,26,21,16,63,1996
61,SAM,0,2,0,2,2004
32,SGP,0,1,0,1,1960
28,RSA,0,1,2,3,1960
86,SYR,0,0,1,1,2020
14,NZL,2,0,1,3,1960
71,SYR,0,0,1,1,2004
41,ESP,0,0,1,1,1960
17,FIN,1,1,3,5,1960
18,AUT,1,1,0,2,1960
16,SWE,1,2,3,6,1960
24,CHE,0,3,3,6,1960
21,ETH,1,0,0,1,1960
49,SYR,1,0,0,1,1996
6,TUR,7,2,0,9,1960
25,FRA,0,2,3,5,1960
26,BEL,0,2,2,4,1960
2,USA,34,21,16,71,1960
30,EGY,0,1,1,2,1960
41,VEN,0,0,1,1,1960
32,GHA,0,1,0,1,1960
48,VIE,1,1,0,2,2016
79,VIE,0,0,1,1,2012
72,VIE,0,1,0,1,2008
64,VIE,0,1,0,1,2000
36,VLS,0,1,0,1,1988
5,GER,11,14,15,40,1988
4,GER,10,12,17,39,1976
4,GER,13,11,16,40,1972
8,GER,5,11,10,26,1968
16,YSA,3,4,5,12,1988
16,YSA,2,3,3,8,1976
2,USA,32,25,17,74,1956
3,AUS,13,8,14,35,1956
4,HUN,9,10,7,26,1956
5,ITA,8,8,9,25,1956
6,SWE,8,5,6,19,1956
20,YSA,2,1,2,5,1972
8,GBR,6,7,11,24,1956
9,ROU,5,3,5,13,1956
10,JPN,4,10,5,19,1956
11,FRA,4,4,6,14,1956
12,TUR,3,2,2,7,1956
13,FIN,3,1,11,15,1956
14,IRI,2,2,1,5,1956
15,CAN,2,1,3,6,1956
16,NZL,2,0,0,2,1956
17,POL,1,4,4,9,1956
16,YSA,3,3,2,8,1968
19,BUL,1,3,1,5,1956
20,DEN,1,2,1,4,1956
21,IRL,1,1,3,5,1956
22,NOR,1,0,2,3,1956
23,MEX,1,0,1,2,1956
24,BRA,1,0,0,1,1956
24,IND,1,0,0,1,1956
19,YSA,2,1,2,5,1964
27,CHI,0,2,2,4,1956
28,BEL,0,2,0,2,1956
29,ARG,0,1,1,2,1956
29,KOR,0,1,1,2,1956
31,ISL,0,1,0,1,1956
31,PAK,0,1,0,1,1956
33,RSA,0,0,4,4,1956
34,AUT,0,0,2,2,1956
35,BAH,0,0,1,1,1956
35,GRE,0,0,1,1,1956
35,CHE,0,0,1,1,1956
35,URY,0,0,1,1,1956
1,USA,40,19,17,76,1952
18,YSA,1,1,0,2,1960
3,HUN,16,10,16,42,1952
4,SWE,12,13,10,35,1952
5,ITA,8,9,4,21,1952
26,YSA,0,3,0,3,1956
7,FRA,6,6,6,18,1952
8,FIN,6,3,13,22,1952
9,AUS,6,2,3,11,1952
10,NOR,3,2,0,5,1952
11,CHE,2,6,6,14,1952
12,RSA,2,4,4,10,1952
13,JAM,2,3,0,5,1952
14,BEL,2,2,0,4,1952
15,DEN,2,1,3,6,1952
16,TUR,2,0,1,3,1952
17,JPN,1,6,2,9,1952
18,GBR,1,2,8,11,1952
19,ARG,1,2,2,5,1952
20,POL,1,2,1,4,1952
21,CAN,1,2,0,3,1952
21,YSA,1,2,0,3,1952
23,ROU,1,1,2,4,1952
24,BRA,1,0,2,3,1952
24,NZL,1,0,2,3,1952
26,IND,1,0,1,2,1952
27,LUX,1,0,0,1,1952
28,GER,0,7,17,24,1952
29,NED,0,5,0,5,1952
30,IRI,0,3,4,7,1952
31,CHI,0,2,0,2,1952
32,AUT,0,1,1,2,1952
32,LBN,0,1,1,2,1952
34,IRL,0,1,0,1,1952
34,MEX,0,1,0,1,1952
34,ESP,0,1,0,1,1952
37,KOR,0,0,2,2,1952
37,TTO,0,0,2,2,1952
37,URY,0,0,2,2,1952
40,BUL,0,0,1,1,1952
40,EGY,0,0,1,1,1952
40,PRT,0,0,1,1,1952
40,VEN,0,0,1,1,1952
